date,open,high,low,close,volume
2025-09-01,1550.0,1553.8,1536.73,1543.43,4761884
2025-09-02,1543.43,1546.72,1491.42,1497.7,5299795
2025-09-03,1497.7,1511.35,1496.95,1509.81,6491819
2025-09-04,1509.81,1525.43,1503.38,1525.37,2789601
2025-09-05,1525.37,1535.75,1519.75,1533.83,6724031
2025-09-08,1533.83,1543.59,1519.35,1526.08,6538530
2025-09-09,1526.08,1544.21,1523.53,1538.56,5557365
2025-09-10,1538.56,1552.35,1536.83,1541.59,6637449
2025-09-11,1541.59,1543.49,1522.6,1537.52,6649439
2025-09-12,1537.52,1541.17,1530.47,1534.99,4952266
2025-09-15,1534.99,1570.57,1525.26,1557.56,3180113
2025-09-16,1557.56,1588.54,1557.56,1581.86,4054247
2025-09-17,1581.86,1595.63,1575.45,1589.75,6128530
2025-09-18,1589.75,1594.77,1580.17,1582.92,4790898
2025-09-19,1582.92,1604.08,1582.67,1602.57,3827112
2025-09-22,1602.57,1607.48,1589.19,1602.19,7437714
2025-09-23,1602.19,1620.44,1599.8,1609.13,6583738
2025-09-24,1609.13,1610.33,1561.29,1562.78,8145233
2025-09-25,1562.78,1563.18,1538.25,1545.9,5314047
2025-09-26,1545.9,1551.72,1537.5,1540.55,6066401
2025-09-29,1540.55,1541.85,1520.75,1528.08,5262146
2025-09-30,1528.08,1532.29,1498.08,1505.64,3793636
2025-10-01,1505.64,1518.92,1488.13,1493.49,7912312
2025-10-02,1493.49,1506.1,1488.12,1489.72,8269513
2025-10-03,1489.72,1508.59,1485.52,1499.85,7183585
2025-10-06,1499.85,1500.2,1470.08,1476.43,8289279
2025-10-07,1476.43,1479.26,1466.12,1467.86,6694777
2025-10-08,1467.86,1488.1,1463.25,1479.57,6465886
2025-10-09,1479.57,1481.93,1448.22,1458.78,5672931
2025-10-10,1458.78,1464.66,1442.1,1446.49,4968923
2025-10-13,1446.49,1452.6,1441.23,1447.38,8278925
2025-10-14,1447.38,1473.93,1442.02,1470.42,4352173
2025-10-15,1470.42,1477.81,1463.5,1474.54,4657395
2025-10-16,1474.54,1478.68,1445.34,1454.22,6926812
2025-10-17,1454.22,1469.71,1450.16,1466.04,6873039
2025-10-20,1466.04,1474.45,1444.48,1447.14,5900418
2025-10-21,1447.14,1463.91,1446.59,1454.8,5604827
2025-10-22,1454.8,1470.76,1452.07,1469.05,6966942
2025-10-23,1469.05,1488.84,1463.07,1485.2,17130599
2025-10-24,1485.2,1501.28,1478.77,1492.74,4031671
2025-10-27,1492.74,1525.06,1486.34,1521.23,9030073
2025-10-28,1521.23,1533.53,1520.35,1527.15,6035854
2025-10-29,1527.15,1568.66,1518.88,1565.57,5170211
2025-10-30,1565.57,1587.48,1561.66,1574.26,7327847
2025-10-31,1574.26,1578.37,1565.94,1573.43,7756680
2025-11-03,1573.43,1617.32,1567.07,1617.29,8012213
2025-11-04,1617.29,1633.74,1609.49,1627.09,6560239
2025-11-05,1627.09,1676.56,1624.91,1673.0,23895799
2025-11-06,1673.0,1715.92,1670.23,1710.07,6694932
2025-11-07,1710.07,1731.02,1679.84,1687.29,5531185
2025-11-10,1687.29,1698.48,1675.44,1697.09,8359529
2025-11-11,1697.09,1698.1,1672.33,1678.59,6391900
2025-11-12,1678.59,1682.77,1648.53,1652.69,4793526
2025-11-13,1652.69,1660.52,1644.8,1660.03,5819829
2025-11-14,1660.03,1661.33,1647.33,1648.69,4880132
2025-11-17,1648.69,1653.34,1622.82,1634.12,5653634
2025-11-18,1634.12,1635.7,1628.51,1628.92,6719162
2025-11-19,1628.92,1635.77,1609.04,1615.6,4858220
2025-11-20,1615.6,1623.97,1595.91,1598.83,6272139
2025-11-21,1598.83,1600.95,1585.37,1590.97,5429637
2025-11-24,1590.97,1596.37,1587.26,1590.91,3321200
2025-11-25,1590.91,1603.6,1583.49,1596.81,6027062
2025-11-26,1596.81,1608.16,1594.8,1595.32,4750415
2025-11-27,1595.32,1610.13,1566.07,1569.47,8461739
2025-11-28,1569.47,1583.02,1567.0,1580.69,3108491
2025-12-01,1580.69,1583.85,1544.52,1555.11,5887883
2025-12-02,1555.11,1583.27,1549.19,1582.88,5450239
2025-12-03,1582.88,1595.32,1568.76,1571.85,6517417
2025-12-04,1571.85,1624.88,1557.9,1614.38,5761432
2025-12-05,1614.38,1619.96,1562.05,1567.64,6603132
2025-12-08,1567.64,1572.89,1551.56,1555.35,5191315
2025-12-09,1555.35,1565.44,1554.93,1564.25,6667629
2025-12-10,1564.25,1594.82,1559.76,1591.55,5654213
2025-12-11,1591.55,1604.13,1588.24,1601.13,4533244
2025-12-12,1601.13,1612.92,1595.76,1610.93,17773952
2025-12-15,1610.93,1631.62,1606.83,1623.64,6687580
2025-12-16,1623.64,1625.34,1602.71,1608.05,5959002
2025-12-17,1608.05,1612.34,1585.75,1587.61,5719006
2025-12-18,1587.61,1624.94,1587.32,1623.6,4179087
2025-12-19,1623.6,1632.62,1609.81,1612.29,6574483
2025-12-22,1612.29,1619.45,1583.99,1599.41,6332237
2025-12-23,1599.41,1636.74,1586.07,1611.43,8587044
2025-12-24,1611.43,1613.37,1575.46,1577.03,4659760
2025-12-25,1577.03,1584.16,1565.65,1568.48,7885723
2025-12-26,1568.48,1579.05,1563.75,1576.24,4322588
2025-12-29,1576.24,1580.46,1572.38,1573.0,7943807
2025-12-30,1573.0,1580.58,1555.0,1558.15,6293767
2025-12-31,1558.15,1599.48,1552.73,1593.2,5316690
2026-01-01,1593.2,1604.64,1587.06,1601.23,4528519
2026-01-02,1601.23,1631.06,1597.36,1621.51,5655677
2026-01-05,1621.51,1629.62,1600.53,1603.54,4267957
2026-01-06,1603.54,1618.85,1602.99,1611.45,1513296
2026-01-07,1611.45,1661.39,1606.14,1658.92,7224010
2026-01-08,1658.92,1670.52,1631.44,1637.55,5645167
2026-01-09,1637.55,1641.44,1624.8,1632.01,7385955
2026-01-12,1632.01,1638.91,1612.65,1620.58,5611718
2026-01-13,1620.58,1637.57,1620.17,1626.43,3224052
2026-01-14,1626.43,1639.36,1590.1,1595.92,6158630
2026-01-15,1595.92,1623.69,1583.73,1615.6,7214833
2026-01-16,1615.6,1621.8,1578.04,1578.82,6140058
2026-01-19,1578.82,1579.43,1555.8,1556.72,4980838
2026-01-20,1556.72,1560.24,1550.79,1558.91,6116220
2026-01-21,1558.91,1562.55,1521.07,1521.47,6675983
2026-01-22,1521.47,1532.96,1509.9,1513.27,3996777
2026-01-23,1513.27,1519.49,1471.82,1474.35,6650082
2026-01-26,1474.35,1482.59,1444.99,1448.37,7557568
2026-01-27,1448.37,1453.3,1440.42,1447.57,5902998
2026-01-28,1447.57,1475.2,1445.18,1472.47,7730851
2026-01-29,1472.47,1482.63,1470.49,1481.53,8935761
2026-01-30,1481.53,1485.43,1427.91,1430.51,4526558
2026-02-02,1430.51,1468.52,1429.74,1465.6,4940159
2026-02-03,1465.6,1479.63,1462.16,1478.7,6336324
2026-02-04,1478.7,1485.47,1431.74,1434.05,6641425
2026-02-05,1434.05,1438.12,1405.47,1407.09,4824369
2026-02-06,1407.09,1437.81,1406.16,1430.45,4980923
2026-02-09,1430.45,1439.29,1429.92,1437.38,5206001
2026-02-10,1437.38,1446.91,1437.3,1441.04,3635472
2026-02-11,1441.04,1450.16,1433.72,1446.16,8553771
2026-02-12,1446.16,1489.11,1436.75,1487.02,5246070
2026-02-13,1487.02,1493.97,1479.88,1492.49,6210539
2026-02-16,1492.49,1509.67,1488.58,1508.39,5290102
2026-02-17,1508.39,1509.25,1457.11,1467.79,7139568
2026-02-18,1467.79,1503.51,1460.11,1499.36,4231775
2026-02-19,1499.36,1502.83,1493.0,1497.24,7283333
2026-02-20,1497.24,1501.39,1489.56,1499.37,7631609
2026-02-23,1499.37,1502.81,1470.18,1472.83,3195275
2026-02-24,1472.83,1474.82,1457.88,1466.66,5286017
2026-02-25,1466.66,1471.09,1457.12,1463.26,8483110
2026-02-26,1463.26,1466.23,1452.73,1456.19,5840667
2026-02-27,1456.19,1463.87,1417.43,1417.84,19814251
2026-03-02,1417.84,1418.06,1406.83,1416.64,8242407
2026-03-03,1416.64,1418.57,1377.18,1382.82,7401641
2026-03-04,1382.82,1411.68,1382.27,1399.77,5095769
2026-03-05,1399.77,1403.43,1385.22,1388.75,5176876
2026-03-06,1388.75,1393.73,1382.48,1387.15,5446189
2026-03-09,1387.15,1405.2,1387.09,1400.86,5013772
2026-03-10,1400.86,1410.0,1374.22,1381.05,6164112
2026-03-11,1381.05,1397.35,1380.1,1393.37,5745497
2026-03-12,1393.37,1403.13,1369.27,1371.41,6237080
2026-03-13,1371.41,1406.88,1368.53,1402.06,4293289
2026-03-16,1402.06,1406.28,1374.83,1382.95,5247896
2026-03-17,1382.95,1398.92,1380.87,1393.5,7773529
2026-03-18,1393.5,1400.92,1372.24,1378.84,7340546
2026-03-19,1378.84,1397.28,1373.03,1391.07,6335622
2026-03-20,1391.07,1439.61,1382.53,1436.06,3179984
2026-03-23,1436.06,1460.87,1430.73,1459.65,6814242
2026-03-24,1459.65,1463.6,1436.32,1440.77,7245287
2026-03-25,1440.77,1445.93,1427.05,1432.21,8532663
2026-03-26,1432.21,1457.85,1422.72,1447.53,5213327
2026-03-27,1447.53,1468.95,1443.95,1462.88,4025594
2026-03-30,1462.88,1475.09,1457.93,1469.28,7874428
2026-03-31,1469.28,1472.42,1463.71,1465.57,5966133
2026-04-01,1465.57,1476.77,1436.79,1444.18,6284219
2026-04-02,1444.18,1449.64,1434.81,1449.19,8926713
2026-04-03,1449.19,1455.33,1414.94,1415.92,7157880
2026-04-06,1415.92,1421.79,1386.08,1396.71,6367229
2026-04-07,1396.71,1415.72,1394.65,1409.75,6222134
2026-04-08,1409.75,1429.68,1402.92,1423.2,30909310
2026-04-09,1423.2,1454.19,1411.98,1446.98,7063078
2026-04-10,1446.98,1456.0,1445.73,1452.25,4690558
2026-04-13,1452.25,1453.86,1437.65,1445.15,16099425
2026-04-14,1445.15,1474.17,1444.58,1458.04,4737432
2026-04-15,1458.04,1466.81,1424.87,1426.75,5682499
2026-04-16,1426.75,1428.32,1420.59,1426.69,6136782
2026-04-17,1426.69,1454.73,1419.8,1452.77,4387031
2026-04-20,1452.77,1484.63,1448.16,1477.88,5401351
2026-04-21,1477.88,1489.03,1471.37,1482.95,7592056
2026-04-22,1482.95,1489.97,1478.53,1483.54,8159168
2026-04-23,1483.54,1533.66,1481.39,1527.46,6624669
2026-04-24,1527.46,1586.77,1522.25,1582.7,6127926
2026-04-27,1582.7,1593.42,1572.89,1587.68,6386963
2026-04-28,1587.68,1632.25,1582.36,1632.12,4380911
2026-04-29,1632.12,1672.94,1622.98,1669.1,3986808
2026-04-30,1669.1,1689.96,1655.58,1683.76,7213387
2026-05-01,1683.76,1692.05,1653.83,1660.24,8442702
2026-05-04,1660.24,1668.07,1607.06,1608.46,4531778
2026-05-05,1608.46,1609.53,1595.23,1595.73,2806898
