date,open,high,low,close,volume
2025-09-01,1050.0,1069.12,1046.92,1067.04,5787705
2025-09-02,1067.04,1069.7,1064.67,1068.49,6032798
2025-09-03,1068.49,1077.21,1034.64,1035.29,6597220
2025-09-04,1035.29,1036.16,1001.06,1011.05,3486312
2025-09-05,1011.05,1012.83,990.78,995.91,6021763
2025-09-08,995.91,1004.76,994.98,1004.0,7352244
2025-09-09,1004.0,1040.26,997.48,1037.41,6574752
2025-09-10,1037.41,1037.96,1018.64,1024.83,5219341
2025-09-11,1024.83,1024.92,988.99,993.45,5719981
2025-09-12,993.45,994.59,989.35,990.64,7110818
2025-09-15,990.64,1001.76,990.09,1001.68,5364164
2025-09-16,1001.68,1003.44,975.61,983.09,4125166
2025-09-17,983.09,990.37,983.01,984.05,6433775
2025-09-18,984.05,990.45,975.06,978.09,7334311
2025-09-19,978.09,981.92,977.92,981.52,7555738
2025-09-22,981.52,1015.95,974.72,1007.66,22696383
2025-09-23,1007.66,1011.19,1005.68,1009.47,6061687
2025-09-24,1009.47,1014.15,1002.12,1011.26,4941339
2025-09-25,1011.26,1023.55,1009.24,1018.62,5845997
2025-09-26,1018.62,1037.35,1015.5,1032.72,6102108
2025-09-29,1032.72,1049.15,1030.72,1044.17,7591791
2025-09-30,1044.17,1051.81,1039.87,1050.96,6069118
2025-10-01,1050.96,1059.58,1041.13,1055.38,15354270
2025-10-02,1055.38,1066.17,1050.17,1066.12,3152215
2025-10-03,1066.12,1069.6,1035.59,1041.34,5345766
2025-10-06,1041.34,1045.25,1034.09,1036.79,6915560
2025-10-07,1036.79,1036.84,1032.43,1033.05,6146740
2025-10-08,1033.05,1033.62,1026.2,1028.34,6639154
2025-10-09,1028.34,1028.55,1002.52,1004.45,7093411
2025-10-10,1004.45,1006.69,995.73,998.25,5065878
2025-10-13,998.25,1015.88,994.63,1014.23,6185219
2025-10-14,1014.23,1031.71,1013.82,1026.88,7484923
2025-10-15,1026.88,1037.57,1023.31,1035.37,5983699
2025-10-16,1035.37,1035.41,1009.9,1017.76,4988564
2025-10-17,1017.76,1017.82,1013.63,1016.86,7460433
2025-10-20,1016.86,1019.11,997.63,1002.24,6384119
2025-10-21,1002.24,1018.29,997.02,1011.0,3220472
2025-10-22,1011.0,1019.41,1007.82,1018.49,3908466
2025-10-23,1018.49,1019.36,1009.64,1013.36,8596754
