date,open,high,low,close,volume
2025-09-01,1450.0,1461.42,1431.05,1431.64,9063114
2025-09-02,1431.64,1440.26,1425.82,1425.88,6444546
2025-09-03,1425.88,1430.58,1403.46,1404.73,6026419
2025-09-04,1404.73,1414.92,1396.74,1411.74,5224294
2025-09-05,1411.74,1439.78,1407.33,1436.92,4860445
2025-09-08,1436.92,1450.37,1433.13,1442.72,3503284
2025-09-09,1442.72,1443.21,1387.69,1388.53,5509955
2025-09-10,1388.53,1391.26,1363.14,1365.24,6432948
2025-09-11,1365.24,1376.56,1362.04,1369.42,5381379
2025-09-12,1369.42,1408.23,1365.92,1407.84,4663665
2025-09-15,1407.84,1416.85,1365.69,1372.37,6239193
2025-09-16,1372.37,1377.3,1351.58,1359.44,6024473
2025-09-17,1359.44,1361.72,1330.28,1334.85,6146505
2025-09-18,1334.85,1335.35,1321.77,1322.48,6618163
2025-09-19,1322.48,1328.75,1310.65,1312.75,6403942
2025-09-22,1312.75,1346.6,1306.47,1343.56,3785899
2025-09-23,1343.56,1374.51,1342.47,1371.87,5207554
2025-09-24,1371.87,1379.12,1335.39,1336.98,4373443
2025-09-25,1336.98,1338.64,1310.19,1313.41,4935316
2025-09-26,1313.41,1350.11,1308.24,1341.13,8107413
2025-09-29,1341.13,1348.82,1334.43,1337.24,6740482
2025-09-30,1337.24,1341.52,1323.18,1329.08,7720592
2025-10-01,1329.08,1332.22,1291.67,1295.42,5706914
2025-10-02,1295.42,1296.79,1277.21,1282.66,5931802
2025-10-03,1282.66,1298.31,1281.94,1289.78,7494177
2025-10-06,1289.78,1291.99,1277.35,1278.61,6893553
2025-10-07,1278.61,1284.7,1256.54,1261.33,6364507
2025-10-08,1261.33,1269.76,1251.89,1255.62,4750942
2025-10-09,1255.62,1260.1,1213.39,1213.7,6804436
2025-10-10,1213.7,1229.96,1206.35,1228.71,6597042
2025-10-13,1228.71,1238.09,1208.87,1210.78,7502447
2025-10-14,1210.78,1216.79,1206.98,1214.01,6932282
2025-10-15,1214.01,1214.65,1193.6,1201.62,4586162
2025-10-16,1201.62,1207.83,1179.95,1185.33,6731858
2025-10-17,1185.33,1186.37,1150.23,1154.9,4732587
2025-10-20,1154.9,1166.85,1136.01,1136.29,7424284
2025-10-21,1136.29,1143.61,1127.79,1128.97,14062214
2025-10-22,1128.97,1150.39,1123.65,1148.26,6258381
2025-10-23,1148.26,1182.53,1139.72,1179.42,7296365
2025-10-24,1179.42,1183.07,1169.99,1171.77,7845333
2025-10-27,1171.77,1196.51,1167.77,1196.1,5445919
2025-10-28,1196.1,1209.5,1194.76,1207.43,4081453
2025-10-29,1207.43,1222.95,1201.79,1214.03,6780829
2025-10-30,1214.03,1215.19,1206.34,1211.75,6279624
2025-10-31,1211.75,1224.76,1210.14,1224.35,6254767
2025-11-03,1224.35,1226.13,1209.19,1210.7,3165526
2025-11-04,1210.7,1212.38,1178.48,1185.39,3755701
2025-11-05,1185.39,1193.66,1182.99,1192.74,8170958
2025-11-06,1192.74,1223.81,1191.55,1216.47,9752467
2025-11-07,1216.47,1231.72,1213.78,1221.55,5177699
2025-11-10,1221.55,1225.58,1214.81,1218.51,8898689
2025-11-11,1218.51,1222.17,1165.23,1174.94,6042686
2025-11-12,1174.94,1177.51,1171.27,1174.08,18815243
2025-11-13,1174.08,1182.08,1160.39,1171.6,6565638
2025-11-14,1171.6,1174.55,1112.15,1114.33,6949990
2025-11-17,1114.33,1145.84,1113.8,1145.71,4988714
2025-11-18,1145.71,1148.36,1141.65,1143.85,7044251
2025-11-19,1143.85,1146.37,1134.66,1142.36,8765848
2025-11-20,1142.36,1143.81,1124.65,1128.18,5610299
2025-11-21,1128.18,1138.26,1123.38,1133.65,7492816
2025-11-24,1133.65,1146.52,1106.34,1109.93,7435054
2025-11-25,1109.93,1127.3,1105.82,1127.16,9306343
2025-11-26,1127.16,1147.76,1124.0,1145.86,10221981
2025-11-27,1145.86,1181.55,1144.78,1173.89,5189845
2025-11-28,1173.89,1174.85,1145.37,1152.1,6672953
2025-12-01,1152.1,1162.59,1150.95,1158.7,7213674
2025-12-02,1158.7,1161.63,1136.92,1137.78,6445866
2025-12-03,1137.78,1140.4,1118.1,1118.83,8429736
2025-12-04,1118.83,1119.33,1108.01,1109.62,2988814
2025-12-05,1109.62,1111.23,1101.81,1103.61,8207090
2025-12-08,1103.61,1130.45,1099.81,1129.43,6119702
2025-12-09,1129.43,1130.17,1124.8,1125.55,6626092
2025-12-10,1125.55,1126.55,1117.48,1123.03,4452067
2025-12-11,1123.03,1139.62,1122.3,1135.93,5062685
2025-12-12,1135.93,1167.45,1135.65,1163.33,6364685
2025-12-15,1163.33,1186.07,1160.18,1185.18,4358452
2025-12-16,1185.18,1225.66,1177.46,1218.2,5440986
2025-12-17,1218.2,1219.76,1208.59,1214.77,5852410
2025-12-18,1214.77,1215.44,1196.64,1201.24,6311405
2025-12-19,1201.24,1242.37,1193.09,1237.42,4978675
2025-12-22,1237.42,1237.43,1226.49,1231.76,7907838
2025-12-23,1231.76,1235.14,1231.43,1234.93,1930136
2025-12-24,1234.93,1256.62,1233.05,1248.44,6467479
2025-12-25,1248.44,1251.01,1191.56,1195.22,5948217
2025-12-26,1195.22,1217.34,1192.7,1216.28,5283883
2025-12-29,1216.28,1216.83,1169.88,1175.27,5853020
2025-12-30,1175.27,1176.43,1164.14,1168.75,4932040
2025-12-31,1168.75,1171.03,1153.82,1155.95,5737769
2026-01-01,1155.95,1157.37,1147.14,1155.52,5485681
2026-01-02,1155.52,1160.06,1134.63,1135.07,4338087
2026-01-05,1135.07,1135.36,1124.55,1126.33,6395326
2026-01-06,1126.33,1138.22,1087.58,1091.48,5616839
2026-01-07,1091.48,1119.78,1078.34,1112.82,6856769
2026-01-08,1112.82,1115.51,1076.69,1079.61,3642632
2026-01-09,1079.61,1084.25,1077.47,1081.54,1718060
2026-01-12,1081.54,1082.65,1069.33,1070.01,6645098
2026-01-13,1070.01,1073.07,1062.07,1070.68,5277351
2026-01-14,1070.68,1118.9,1065.64,1108.78,5496900
2026-01-15,1108.78,1114.01,1102.36,1108.45,6779853
2026-01-16,1108.45,1119.81,1102.75,1111.23,5085023
2026-01-19,1111.23,1116.47,1073.54,1079.74,5479046
2026-01-20,1079.74,1092.37,1075.11,1086.43,5179787
2026-01-21,1086.43,1093.42,1085.72,1086.71,9294334
2026-01-22,1086.71,1089.95,1082.11,1087.9,6298191
2026-01-23,1087.9,1094.1,1070.91,1071.31,4668345
2026-01-26,1071.31,1073.65,1060.55,1063.75,4130603
