date,open,high,low,close,volume
2025-09-01,2450.0,2472.31,2443.65,2470.94,8284544
2025-09-02,2470.94,2493.49,2465.2,2483.46,5212245
2025-09-03,2483.46,2513.65,2466.32,2494.56,5156568
2025-09-04,2494.56,2501.97,2472.0,2478.97,2790569
2025-09-05,2478.97,2497.29,2473.57,2483.14,6166383
2025-09-08,2483.14,2492.55,2457.92,2460.78,5046660
2025-09-09,2460.78,2472.14,2452.68,2461.72,4168734
2025-09-10,2461.72,2584.92,2459.57,2572.63,7322641
2025-09-11,2572.63,2575.73,2554.22,2569.42,4920233
2025-09-12,2569.42,2578.47,2504.22,2515.6,6201643
2025-09-15,2515.6,2521.75,2479.59,2489.86,7396920
2025-09-16,2489.86,2496.07,2468.12,2483.1,7649470
2025-09-17,2483.1,2494.98,2432.7,2440.64,8034360
2025-09-18,2440.64,2441.38,2392.23,2401.57,7193393
2025-09-19,2401.57,2416.67,2376.41,2401.64,19252676
2025-09-22,2401.64,2409.3,2400.75,2406.42,3018646
2025-09-23,2406.42,2420.81,2379.75,2387.29,7115566
2025-09-24,2387.29,2392.08,2349.21,2357.84,6493126
2025-09-25,2357.84,2412.7,2354.92,2411.01,7009688
2025-09-26,2411.01,2425.12,2394.49,2397.33,20875679
2025-09-29,2397.33,2401.36,2341.26,2344.48,4796584
2025-09-30,2344.48,2372.99,2335.63,2353.95,8105938
2025-10-01,2353.95,2354.2,2282.54,2283.09,9694863
2025-10-02,2283.09,2304.3,2277.84,2301.92,5367752
2025-10-03,2301.92,2352.44,2294.63,2345.39,4635918
2025-10-06,2345.39,2412.89,2337.13,2399.53,6115342
2025-10-07,2399.53,2404.96,2362.0,2362.94,5244786
2025-10-08,2362.94,2368.16,2356.8,2364.7,4165689
2025-10-09,2364.7,2379.36,2324.03,2331.33,5516907
2025-10-10,2331.33,2336.52,2309.74,2319.42,6789672
2025-10-13,2319.42,2321.14,2258.81,2261.16,7172734
2025-10-14,2261.16,2317.54,2255.57,2309.53,7825606
2025-10-15,2309.53,2328.38,2292.29,2321.74,6710749
2025-10-16,2321.74,2359.4,2314.77,2350.42,4304357
2025-10-17,2350.42,2392.0,2342.69,2388.06,8845189
2025-10-20,2388.06,2395.43,2328.94,2337.15,5640608
2025-10-21,2337.15,2352.64,2334.68,2339.04,10080253
2025-10-22,2339.04,2348.18,2304.02,2304.4,5794092
2025-10-23,2304.4,2310.99,2293.2,2297.55,5890756
2025-10-24,2297.55,2304.69,2272.75,2282.29,5486787
2025-10-27,2282.29,2302.9,2280.71,2291.48,6577976
2025-10-28,2291.48,2308.77,2281.79,2301.32,6077041
2025-10-29,2301.32,2352.46,2288.64,2342.58,4593262
2025-10-30,2342.58,2357.82,2342.36,2355.4,7307870
2025-10-31,2355.4,2389.13,2346.41,2378.33,6977086
2025-11-03,2378.33,2392.61,2334.35,2335.9,4716106
2025-11-04,2335.9,2441.91,2329.48,2423.81,3580926
2025-11-05,2423.81,2427.05,2375.7,2390.62,6192826
2025-11-06,2390.62,2392.69,2363.69,2364.12,5022599
2025-11-07,2364.12,2425.13,2363.98,2417.11,6663111
2025-11-10,2417.11,2425.36,2385.38,2392.97,22985058
2025-11-11,2392.97,2422.1,2381.48,2413.74,5498248
2025-11-12,2413.74,2443.12,2404.61,2427.46,7899610
2025-11-13,2427.46,2521.71,2412.71,2511.34,5273648
2025-11-14,2511.34,2530.15,2503.11,2503.31,4601112
2025-11-17,2503.31,2515.8,2478.41,2494.7,3854787
2025-11-18,2494.7,2499.34,2490.48,2491.07,9521995
2025-11-19,2491.07,2495.67,2451.49,2453.44,17230081
2025-11-20,2453.44,2465.88,2437.88,2459.37,4143276
2025-11-21,2459.37,2488.58,2455.05,2487.87,5837253
2025-11-24,2487.87,2506.78,2485.8,2500.55,5260498
2025-11-25,2500.55,2504.11,2467.72,2477.16,8178825
2025-11-26,2477.16,2517.18,2468.94,2510.86,5159728
2025-11-27,2510.86,2523.12,2434.02,2440.55,7742905
2025-11-28,2440.55,2451.27,2425.48,2433.51,7220264
