date,open,high,low,close,volume
2025-09-01,3800.0,3810.81,3737.97,3746.76,5703697
2025-09-02,3746.76,3782.67,3741.8,3759.27,7250293
2025-09-03,3759.27,3777.82,3692.8,3703.09,8919814
2025-09-04,3703.09,3703.92,3662.07,3670.27,6114008
2025-09-05,3670.27,3679.51,3610.83,3624.1,6121915
2025-09-08,3624.1,3642.02,3574.86,3590.53,6913707
2025-09-09,3590.53,3610.74,3565.65,3566.69,7170117
2025-09-10,3566.69,3681.08,3563.95,3675.3,5536325
2025-09-11,3675.3,3709.09,3659.56,3700.47,4665380
2025-09-12,3700.47,3707.99,3597.3,3613.25,2770664
2025-09-15,3613.25,3654.07,3609.61,3653.61,5997674
2025-09-16,3653.61,3660.04,3640.18,3658.6,5564588
2025-09-17,3658.6,3695.57,3651.18,3686.73,5645467
2025-09-18,3686.73,3726.9,3686.31,3713.55,5986321
2025-09-19,3713.55,3716.48,3667.28,3703.79,5549789
2025-09-22,3703.79,3724.85,3688.02,3705.4,5542162
2025-09-23,3705.4,3731.78,3678.69,3730.97,5030205
2025-09-24,3730.97,3733.13,3668.7,3686.53,6899893
2025-09-25,3686.53,3692.69,3631.29,3641.32,5906014
2025-09-26,3641.32,3654.37,3632.39,3649.45,5546295
2025-09-29,3649.45,3661.93,3627.05,3651.29,7368652
2025-09-30,3651.29,3664.93,3511.85,3531.16,5662851
2025-10-01,3531.16,3592.21,3518.75,3587.66,22317309
2025-10-02,3587.66,3587.88,3558.15,3570.48,4805339
2025-10-03,3570.48,3573.09,3502.69,3502.9,6868937
2025-10-06,3502.9,3531.77,3398.4,3414.69,5939867
2025-10-07,3414.69,3438.07,3389.34,3408.04,3579657
2025-10-08,3408.04,3424.52,3392.47,3421.68,4318766
2025-10-09,3421.68,3459.6,3392.16,3452.86,5091427
2025-10-10,3452.86,3477.4,3444.02,3466.31,6252592
2025-10-13,3466.31,3497.54,3438.4,3488.08,6204802
2025-10-14,3488.08,3506.24,3476.88,3499.87,7948216
2025-10-15,3499.87,3564.88,3485.22,3555.54,6804979
2025-10-16,3555.54,3579.77,3544.42,3569.67,19200639
2025-10-17,3569.67,3617.79,3551.78,3598.91,5246306
2025-10-20,3598.91,3670.28,3592.35,3662.13,9247503
2025-10-21,3662.13,3759.39,3651.21,3732.53,6890143
2025-10-22,3732.53,3745.06,3700.41,3715.94,3050465
2025-10-23,3715.94,3747.26,3708.75,3745.05,5502815
2025-10-24,3745.05,3773.41,3732.16,3761.14,5125383
2025-10-27,3761.14,3815.59,3742.88,3803.22,5789935
2025-10-28,3803.22,3855.14,3800.46,3837.13,4054752
2025-10-29,3837.13,3838.45,3821.11,3833.57,6866865
2025-10-30,3833.57,3896.77,3828.84,3896.44,8553322
2025-10-31,3896.44,3897.66,3773.86,3801.4,6935323
2025-11-03,3801.4,3876.69,3799.3,3866.28,11949470
2025-11-04,3866.28,3879.44,3847.98,3856.94,6882867
2025-11-05,3856.94,3916.72,3849.0,3894.19,4334664
2025-11-06,3894.19,3894.42,3876.36,3888.57,6972420
2025-11-07,3888.57,3905.78,3809.51,3816.44,4769484
2025-11-10,3816.44,3909.51,3813.01,3903.27,7398886
2025-11-11,3903.27,4001.73,3885.06,3989.74,5140503
2025-11-12,3989.74,4030.57,3953.38,3962.32,6276826
2025-11-13,3962.32,4090.02,3936.47,4059.38,7434660
2025-11-14,4059.38,4110.72,4046.1,4101.68,5994938
2025-11-17,4101.68,4173.22,4086.13,4162.41,7023051
2025-11-18,4162.41,4165.63,4090.12,4101.88,3200195
2025-11-19,4101.88,4151.26,4098.77,4128.71,6865137
2025-11-20,4128.71,4205.25,4124.97,4195.48,4560841
2025-11-21,4195.48,4295.15,4174.45,4262.12,6522966
2025-11-24,4262.12,4301.42,4256.61,4271.2,5778596
2025-11-25,4271.2,4333.22,4264.9,4329.84,6602656
2025-11-26,4329.84,4379.59,4264.82,4265.29,8658377
2025-11-27,4265.29,4329.92,4259.24,4316.48,4353206
2025-11-28,4316.48,4382.17,4314.75,4360.76,5694489
2025-12-01,4360.76,4386.07,4346.11,4382.2,4615754
2025-12-02,4382.2,4473.4,4381.82,4468.55,4879182
2025-12-03,4468.55,4496.04,4437.04,4475.79,4460038
2025-12-04,4475.79,4490.28,4447.82,4481.04,5206420
2025-12-05,4481.04,4491.2,4394.14,4417.7,9622186
2025-12-08,4417.7,4438.28,4313.55,4326.26,4784621
2025-12-09,4326.26,4431.5,4321.15,4384.79,6228473
2025-12-10,4384.79,4386.3,4320.32,4338.93,1617974
2025-12-11,4338.93,4373.81,4284.39,4314.94,4448440
2025-12-12,4314.94,4329.97,4311.78,4317.4,8062314
2025-12-15,4317.4,4327.8,4271.27,4283.42,5234345
2025-12-16,4283.42,4319.43,4277.88,4291.54,5621469
2025-12-17,4291.54,4300.31,4267.29,4272.71,5952122
2025-12-18,4272.71,4324.39,4269.63,4323.05,10789661
2025-12-19,4323.05,4391.56,4300.4,4382.7,5147786
2025-12-22,4382.7,4415.73,4366.59,4390.47,4997783
2025-12-23,4390.47,4469.18,4377.03,4459.6,5712267
2025-12-24,4459.6,4504.24,4448.12,4489.04,7544941
2025-12-25,4489.04,4497.72,4465.11,4474.89,5226424
2025-12-26,4474.89,4482.47,4384.2,4420.67,4398700
2025-12-29,4420.67,4437.28,4411.45,4433.0,6008715
2025-12-30,4433.0,4440.6,4369.84,4373.11,7478594
2025-12-31,4373.11,4380.95,4341.75,4376.28,6335932
2026-01-01,4376.28,4394.85,4370.36,4388.65,5556897
2026-01-02,4388.65,4499.42,4383.32,4493.11,3067085
2026-01-05,4493.11,4504.04,4347.85,4370.52,5965697
2026-01-06,4370.52,4417.64,4360.64,4402.85,5383937
2026-01-07,4402.85,4502.42,4381.41,4496.63,8281974
2026-01-08,4496.63,4518.66,4491.27,4491.95,6203316
2026-01-09,4491.95,4513.29,4416.23,4424.45,6301739
2026-01-12,4424.45,4433.73,4393.68,4402.65,7166296
2026-01-13,4402.65,4445.42,4385.03,4411.2,4983382
2026-01-14,4411.2,4495.07,4398.44,4471.52,7001191
2026-01-15,4471.52,4501.02,4459.49,4496.68,8849822
2026-01-16,4496.68,4537.64,4395.89,4398.37,7650896
2026-01-19,4398.37,4399.96,4363.28,4369.08,6285749
2026-01-20,4369.08,4382.2,4342.26,4345.67,6475469
2026-01-21,4345.67,4364.55,4284.92,4294.13,7212086
2026-01-22,4294.13,4325.51,4278.49,4314.37,6137797
2026-01-23,4314.37,4319.81,4300.56,4314.57,3575534
2026-01-26,4314.57,4389.89,4307.18,4374.77,7348703
2026-01-27,4374.77,4377.72,4368.92,4370.14,7742817
2026-01-28,4370.14,4411.63,4365.51,4391.2,6962895
2026-01-29,4391.2,4420.97,4343.71,4403.34,7016812
2026-01-30,4403.34,4495.36,4387.73,4489.04,6345014
2026-02-02,4489.04,4608.58,4459.59,4584.47,7113191
2026-02-03,4584.47,4585.02,4523.66,4528.31,2395869
2026-02-04,4528.31,4546.92,4527.52,4536.92,8542576
2026-02-05,4536.92,4540.26,4524.08,4532.05,2688373
2026-02-06,4532.05,4544.61,4482.76,4508.12,5875341
2026-02-09,4508.12,4520.19,4453.41,4457.06,17000759
2026-02-10,4457.06,4531.68,4448.5,4521.23,10096300
2026-02-11,4521.23,4533.37,4509.33,4513.18,4872046
2026-02-12,4513.18,4559.7,4512.84,4520.61,7614219
2026-02-13,4520.61,4547.98,4448.02,4480.33,3623796
2026-02-16,4480.33,4554.37,4463.82,4526.64,5186441
2026-02-17,4526.64,4529.3,4470.56,4499.57,7345258
2026-02-18,4499.57,4539.33,4436.42,4452.24,5539678
2026-02-19,4452.24,4453.61,4441.98,4445.98,5024996
2026-02-20,4445.98,4539.11,4425.06,4518.19,11740718
2026-02-23,4518.19,4545.45,4511.3,4531.69,6954894
2026-02-24,4531.69,4533.66,4465.08,4465.67,5687824
2026-02-25,4465.67,4631.47,4430.67,4622.49,7098974
2026-02-26,4622.49,4690.13,4610.54,4682.13,8662966
2026-02-27,4682.13,4702.63,4621.17,4626.08,8150133
2026-03-02,4626.08,4649.67,4623.6,4644.83,7216212
2026-03-03,4644.83,4666.59,4506.62,4535.39,7169350
2026-03-04,4535.39,4542.84,4452.64,4472.42,5677618
2026-03-05,4472.42,4480.12,4416.82,4417.69,5757983
2026-03-06,4417.69,4421.39,4357.19,4386.73,4791194
2026-03-09,4386.73,4409.06,4262.66,4295.16,5306855
2026-03-10,4295.16,4295.4,4260.66,4269.99,6009633
2026-03-11,4269.99,4276.17,4179.93,4210.31,5467519
2026-03-12,4210.31,4255.4,4190.55,4249.72,6554463
2026-03-13,4249.72,4274.99,4157.12,4165.93,2941558
2026-03-16,4165.93,4299.04,4155.3,4261.01,6751266
2026-03-17,4261.01,4275.9,4182.18,4203.39,4702441
2026-03-18,4203.39,4215.96,4078.91,4096.49,6358870
2026-03-19,4096.49,4134.74,4082.02,4086.79,7349197
2026-03-20,4086.79,4094.91,4015.2,4022.69,5841077
2026-03-23,4022.69,4026.57,3939.98,3944.17,8653675
2026-03-24,3944.17,3967.35,3939.92,3961.15,5485211
2026-03-25,3961.15,3979.73,3955.71,3955.92,6585784
2026-03-26,3955.92,3975.89,3851.92,3865.93,5019350
2026-03-27,3865.93,3916.72,3823.93,3879.17,5595422
2026-03-30,3879.17,3883.6,3869.48,3877.57,6967823
2026-03-31,3877.57,3940.72,3875.47,3937.5,7505349
2026-04-01,3937.5,3975.34,3937.2,3972.25,5417222
2026-04-02,3972.25,4040.32,3965.74,4022.6,4879382
2026-04-03,4022.6,4036.48,3975.82,3991.03,6769628
2026-04-06,3991.03,4030.46,3984.31,4018.95,5109239
2026-04-07,4018.95,4093.84,4013.3,4082.28,7605225
2026-04-08,4082.28,4082.67,4013.46,4039.97,3551162
2026-04-09,4039.97,4044.95,3969.27,3999.56,6319940
2026-04-10,3999.56,4076.47,3996.7,4076.42,6123769
2026-04-13,4076.42,4088.85,3980.17,3992.45,4590145
2026-04-14,3992.45,4003.64,3981.17,3985.61,6950041
2026-04-15,3985.61,4039.65,3984.65,4019.73,6416065
2026-04-16,4019.73,4025.11,3976.14,3976.27,7505564
2026-04-17,3976.27,4090.71,3972.93,4070.53,5262545
2026-04-20,4070.53,4125.6,4066.68,4116.38,8054563
2026-04-21,4116.38,4147.04,4115.96,4138.62,3346386
2026-04-22,4138.62,4173.65,4128.25,4157.9,6023068
2026-04-23,4157.9,4160.48,4127.75,4141.42,4699304
2026-04-24,4141.42,4154.3,4115.93,4127.97,5267704
2026-04-27,4127.97,4146.5,4113.92,4143.29,5793942
2026-04-28,4143.29,4176.14,4115.02,4141.01,4007855
2026-04-29,4141.01,4214.96,4139.54,4194.22,6295973
2026-04-30,4194.22,4211.35,4186.87,4206.56,6209665
2026-05-01,4206.56,4217.97,4182.27,4207.85,2555728
2026-05-04,4207.85,4231.69,4111.87,4132.28,5519862
2026-05-05,4132.28,4185.93,4115.11,4166.95,5886353
2026-05-06,4166.95,4247.84,4154.58,4220.79,5373054
2026-05-07,4220.79,4239.79,4154.48,4174.34,8464009
2026-05-08,4174.34,4188.51,4159.67,4186.03,3881196
2026-05-11,4186.03,4206.31,4173.62,4189.51,16049542
2026-05-12,4189.51,4206.17,4135.49,4178.32,5713458
2026-05-13,4178.32,4178.57,4166.38,4175.37,5937478
2026-05-14,4175.37,4193.98,4100.76,4112.53,7077278
2026-05-15,4112.53,4115.69,4084.96,4101.05,4886655
2026-05-18,4101.05,4125.13,4033.56,4036.22,6076331
2026-05-19,4036.22,4083.63,3999.52,4072.6,4595567
2026-05-20,4072.6,4099.37,4065.49,4068.35,8492205
2026-05-21,4068.35,4098.83,4065.01,4097.98,5024974
2026-05-22,4097.98,4103.19,4058.31,4079.22,6836536
2026-05-25,4079.22,4103.78,4058.04,4097.72,8367160
